0.110024	0
0.121792	0
0.122955	0
0.124117	0
0.125278	1
0.131206	2
0.132371	2
0.133527	2
0.134682	2
0.135837	2
0.13699	2
0.138143	2
0.141781	2
0.142929	2
0.144077	2
0.145223	2
0.146368	2
0.147513	2
0.148655	2
0.149798	3
0.150939	3
0.152079	3
0.153219	3
0.154357	3
0.155496	3
0.156634	3
0.157772	3
0.158908	3
0.160044	3
0.161178	3
0.162314	4
0.163447	4
0.164579	4
0.165712	4
0.166846	5
0.167977	5
0.169108	5
0.170237	6
0.171368	6
0.172499	6
0.173628	6
0.174756	7
0.175883	7
0.177009	8
0.178134	8
0.179259	8
0.180384	9
0.181509	9
0.182631	9
0.183756	10
0.184881	10
0.186005	10
0.187127	11
0.18825	11
0.189373	11
0.190495	12
0.191615	12
0.192733	13
0.193852	13
0.19497	13
0.196089	14
0.197207	14
0.198326	14
0.199444	15
0.200563	15
0.201679	15
0.202795	16
0.203911	16
0.205025	16
0.206139	17
0.207252	17
0.208365	18
0.209477	18
0.210589	18
0.211703	19
0.212815	19
0.213928	19
0.21504	20
0.21615	20
0.21726	21
0.21837	21
0.219478	21
0.220586	22
0.221693	22
0.222801	22
0.223909	22
0.225015	23
0.22612	23
0.227223	24
0.228328	24
0.229432	24
0.230534	25
0.231634	25
0.232733	26
0.233831	26
0.234927	26
0.236022	27
0.237115	27
0.238207	27
0.239298	28
0.240388	28
0.241476	28
0.242563	29
0.243647	29
0.24473	29
0.245812	30
0.246893	30
0.247973	30
0.249051	31
0.250129	31
0.251206	31
0.252282	32
0.253357	32
0.254433	32
0.255507	33
0.256579	33
0.25765	33
0.258721	34
0.259791	34
0.26086	34
0.261928	35
0.262996	35
0.264062	35
0.265128	36
0.266191	36
0.267253	36
0.268315	37
0.269374	37
0.270432	37
0.271488	38
0.272541	38
0.273592	38
0.27464	39
0.275686	39
0.27673	39
0.27777	40
0.278809	40
0.279845	40
0.280879	40
0.281913	41
0.282942	41
0.283971	41
0.284998	41
0.286022	42
0.287046	42
0.288067	43
0.289088	43
0.290109	43
0.29113	44
0.292151	44
0.293174	44
0.294196	45
0.295221	45
0.296246	45
0.297272	45
0.298299	46
0.299326	46
0.300354	46
0.301383	47
0.302413	47
0.303444	47
0.304476	48
0.305507	48
0.306539	48
0.307572	49
0.308603	49
0.309633	49
0.310662	49
0.31169	50
0.312716	50
0.31374	50
0.314764	50
0.315785	51
0.316806	51
0.317825	51
0.318843	51
0.319862	52
0.320878	52
0.321894	52
0.322907	53
0.32392	53
0.324932	53
0.325943	54
0.326953	54
0.327964	54
0.328973	55
0.329982	55
0.33099	55
0.331998	55
0.333003	56
0.334007	56
0.335011	56
0.336013	57
0.337014	57
0.338013	57
0.339013	58
0.34001	58
0.341007	58
0.342001	59
0.342996	59
0.34399	59
0.344982	60
0.345973	60
0.346962	60
0.347949	60
0.348935	61
0.349917	61
0.350898	61
0.351876	61
0.352852	62
0.353823	62
0.354794	62
0.35576	63
0.356724	63
0.357684	63
0.358643	64
0.359599	64
0.360553	64
0.361503	65
0.362452	65
0.363398	65
0.364342	65
0.365283	66
0.366219	66
0.367153	66
0.368082	66
0.369008	67
0.369933	67
0.370855	67
0.371775	67
0.372693	67
0.373608	68
0.374523	68
0.375438	68
0.37635	68
0.377261	69
0.378172	69
0.37908	69
0.379986	69
0.380892	69
0.381797	70
0.382701	70
0.383604	70
0.384506	70
0.385408	71
0.386309	71
0.38721	71
